"id","pid","case_number","allegation","ia_finding","crb_decision","vote","unanimous_vote"
"22-03","3.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","4.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","FORCE","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","COURTESY","U","A","13 0 1","YES"
"22-03","4.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","4.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","FORCE","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","COURTESY","U","A","13 0 1","YES"
"22-03","4.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
"22-03","4.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","5.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","5.0","2020-0450","FORCE","E","D/C","13 0 1","YES"
"22-03","5.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","5.0","2020-0450","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-03","5.0","2020-0450","OF2 PROCEDURE","S","A","13 0 1","YES"
"22-03","5.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","5.0","2020-0450","FORCE","E","D/C","13 0 1","YES"
"22-03","5.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","5.0","2020-0450","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-03","5.0","2020-0450","OF2 PROCEDURE","S","A","13 0 1","YES"
"22-03","6.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","FORCE","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","6.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","FORCE","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
"22-03","6.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-04","1.0","2021-0015","DETENTION","E","A","14 0 1","YES"
"22-04","1.0","2021-0015","COURTESY","U","A","14 0 1","YES"
"22-05","1.0","2020-0356","OIS","WP","A","11 0 2","YES"
"22-06","1.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-06","1.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-06","1.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-06","2.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","2.0","2020-0477","DETENTION","S","A/C","12 0 1","YES"
"22-06","2.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-06","2.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","2.0","2020-0477","DETENTION","S","A/C","12 0 1","YES"
"22-06","2.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-06","2.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","2.0","2020-0477","DETENTION","S","A/C","12 0 1","YES"
"22-06","2.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-06","2.0","2020-0477","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","3.0","2020-0477","DETENTION","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","SEARCH","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF6 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","3.0","2020-0477","DETENTION","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","SEARCH","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF6 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","PROCEDURE","E","A","12 0 1","YES"
"22-06","3.0","2020-0477","DETENTION","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","SEARCH","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-06","3.0","2020-0477","OF6 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF4 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF4 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","DISCRIMINATION","NS","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-06","4.0","2020-0477","OF4 PROCEDURE","S","A","12 0 1","YES"
"22-06","5.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-06","5.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-06","5.0","2020-0477","DISCRIMINATION","U","A","12 0 1","YES"
"22-07","1.0","2020-0634","OIS","WP","A","11 0 2","YES"
"22-07","2.0","2020-0634","OIS","WP","A","11 0 2","YES"
"22-07","3.0","2020-0634","OIS","WP","A","11 0 2","YES"
"22-08","1.0","2020-0622","DETENTION","E","A","11 0 1","YES"
"22-08","1.0","2020-0622","COURTESY","U","A","11 0 1","YES"
"22-08","2.0","2020-0622","DETENTION","E","A","11 0 1","YES"
"22-08","2.0","2020-0622","COURTESY","U","A","11 0 1","YES"
"22-08","2.0","2020-0622","OF1 PROCEDURE","S","A","11 0 1","YES"
"22-08","2.0","2020-0622","OF2 PROCEDURE","S","A","11 0 1","YES"
"22-09","1.0","2021-0058","FORCE","E","A","17 0 1","YES"
"22-10","1.0","2020-0384","FORCE","E","A","17 0 1","YES"
"22-10","1.0","2020-0384","FORCE","E","A","17 0 1","YES"
"22-10","2.0","2020-0384","FORCE","E","A","17 0 1","YES"
"22-10","2.0","2020-0384","FORCE","E","A","17 0 1","YES"
"22-100","1.0","2020-0659","OIS","WP","A/C","10 0 1","YES"
"22-100","2.0","2020-0659","OIS","WP","A/C","10 0 1","YES"
"22-101","1.0","2021-0314","FORCE","U","A","10 0 0","YES"
"22-101","1.0","2021-0314","FORCE","E","A","10 0 0","YES"
"22-101","1.0","2021-0314","OF1 PROCEDURE","S","A","10 0 0","YES"
"22-101","1.0","2021-0314","OF2 PROCEDURE","S","A","10 0 0","YES"
"22-102","1.0","2021-0574","ARREST","E","A/C","9 0 1","YES"
"22-103","1.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","2.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","3.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","4.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","5.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","6.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-103","7.0","2020-0478","OIS","WP","A","10 0 0","YES"
"22-11","1.0","2021-0110","DETENTION","E","A","17 0 1","YES"
"22-12","1.0","2021-0118","PROCEDURE","U","A","16 0 2","YES"
"22-12","2.0","2021-0118","FORCE","E","A","16 0 2","YES"
"22-12","2.0","2021-0118","PROCEDURE","U","A","16 0 2","YES"
"22-13","1.0","2021-0132","FORCE","E","A","16 0 2","YES"
"22-14","1.0","2020-0438","OIS","WP","A","14 0 1","YES"
"22-14","2.0","2020-0438","OIS","WP","A","14 0 1","YES"
"22-15","1.0","2020-0326","ICD","WP","A","14 0 1","YES"
"22-15","2.0","2020-0326","ICD","WP","A","14 0 1","YES"
"22-16","1.0","2021-0170","ARREST","E","A","13 0 1","YES"
"22-16","1.0","2021-0170","DISCRIMINATION","U","A","13 0 1","YES"
"22-16","2.0","2021-0170","ARREST","E","A","13 0 1","YES"
"22-16","2.0","2021-0170","DISCRIMINATION","U","A","13 0 1","YES"
"22-17","1.0","2021-0034","DETENTION","E","A","14 0 1","YES"
"22-17","2.0","2021-0034","DETENTION","E","A","14 0 1","YES"
"22-18","1.0","2020-0702","FORCE","E","D/C","11 2 1","NO"
"22-19","1.0","2020-0488","DISCRIMINATION","U","A","14 0 1","YES"
"22-19","2.0","2020-0488","COURTESY","U","A","14 0 1","YES"
"22-20","1.0","2020-0724","DETENTION","E","A","12 0 1","YES"
"22-20","1.0","2020-0724","SEARCH","E","A","12 0 1","YES"
"22-20","1.0","2020-0724","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-20","2.0","2020-0724","DETENTION","E","A","12 0 1","YES"
"22-20","2.0","2020-0724","SEARCH","E","A","12 0 1","YES"
"22-20","2.0","2020-0724","COURTESY","U","A/C","12 0 1","YES"
"22-20","3.0","2020-0724","DETENTION","E","A","12 0 1","YES"
"22-21","1.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","1.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","1.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","2.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","2.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","3.0","2019-0873","ARREST","E","A/C","12 0 1","YES"
"22-21","3.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","4.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-21","4.0","2019-0873","FORCE","E","A","12 0 1","YES"
"22-22","1.0","2020-0792","ARREST","E","A/C","12 0 1","YES"
"22-22","1.0","2020-0792","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-22","2.0","2020-0792","ARREST","E","A/C","12 0 1","YES"
"22-22","2.0","2020-0792","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-22","2.0","2020-0792","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-23","1.0","2020-0833","DETENTION","E","A","12 0 1","YES"
"22-23","1.0","2020-0833","FORCE","E","A","12 0 1","YES"
"22-23","1.0","2020-0833","PROCEDURE","S","A","12 0 1","YES"
"22-23","1.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-23","2.0","2020-0833","DETENTION","E","A","12 0 1","YES"
"22-23","2.0","2020-0833","FORCE","E","A","12 0 1","YES"
"22-23","2.0","2020-0833","PROCEDURE","S","A","12 0 1","YES"
"22-23","2.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-23","2.0","2020-0833","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-23","3.0","2020-0833","DETENTION","E","A","12 0 1","YES"
"22-23","3.0","2020-0833","FORCE","U","A","12 0 1","YES"
"22-23","3.0","2020-0833","PROCEDURE","E","A","12 0 1","YES"
"22-23","3.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-23","4.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-23","4.0","2020-0833","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-23","5.0","2020-0833","DETENTION","E","A","12 0 1","YES"
"22-23","5.0","2020-0833","FORCE","E","A","12 0 1","YES"
"22-23","5.0","2020-0833","PROCEDURE","S","A","12 0 1","YES"
"22-23","5.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-23","5.0","2020-0833","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-23","6.0","2020-0833","DETENTION","E","A","12 0 1","YES"
"22-23","6.0","2020-0833","FORCE","U","A","12 0 1","YES"
"22-23","6.0","2020-0833","PROCEDURE","E","A","12 0 1","YES"
"22-23","6.0","2020-0833","DISCRIMINATION","U","A","12 0 1","YES"
"22-24","1.0","2021-0074","DETENTION","E","A","13 0 1","YES"
"22-24","1.0","2021-0074","SEARCH","U","A","13 0 1","YES"
"22-24","1.0","2021-0074","ARREST","E","A","13 0 1","YES"
"22-24","1.0","2021-0074","COURTESY","U","A","13 0 1","YES"
"22-24","1.0","2021-0074","OF2 PROCEDURE","S","A","13 0 1","YES"
"22-24","2.0","2021-0074","DETENTION","E","A","13 0 1","YES"
"22-24","2.0","2021-0074","SEARCH","U","A","13 0 1","YES"
"22-24","2.0","2021-0074","COURTESY","U","A","13 0 1","YES"
"22-24","2.0","2021-0074","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-24","3.0","2021-0074","DETENTION","E","A","13 0 1","YES"
"22-24","3.0","2021-0074","SEARCH","U","A","13 0 1","YES"
"22-24","3.0","2021-0074","COURTESY","U","A","13 0 1","YES"
"22-25","1.0","2020-0725","COURTESY","U","A","13 0 1","YES"
"22-25","2.0","2020-0725","CRIMINAL CONDUCT","U","A","13 0 1","YES"
"22-25","2.0","2020-0725","COURTESY","U","A","13 0 1","YES"
"22-25","2.0","2020-0725","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-26","1.0","2020-0692","DETENTION","E","A","13 0 1","YES"
"22-26","1.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","1.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","1.0","2020-0692","COURTESY","U","A","13 0 1","YES"
"22-26","2.0","2020-0692","COURTESY","U","A","13 0 1","YES"
"22-26","2.0","2020-0692","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-26","3.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","3.0","2020-0692","COURTESY","U","A","13 0 1","YES"
"22-26","3.0","2020-0692","DISCRIMINATION","U","A","13 0 1","YES"
"22-26","4.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","4.0","2020-0692","COURTESY","U","A","13 0 1","YES"
"22-26","4.0","2020-0692","OF1 PROCEDURE","S","A","13 0 1","YES"
"22-26","5.0","2020-0692","DETENTION","E","A","13 0 1","YES"
"22-26","5.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","5.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","5.0","2020-0692","PROCEDURE","E","A","13 0 1","YES"
"22-26","5.0","2020-0692","FORCE","U","A","13 0 1","YES"
"22-26","5.0","2020-0692","COURTESY","U","A","13 0 1","YES"
"22-27","1.0","2020-0600","FORCE","E","A","13 0 1","YES"
"22-28","1.0","2020-0761","COURTESY","U","A","12 0 2","YES"
"22-28","2.0","2020-0761","ARREST","E","A","12 0 2","YES"
"22-28","2.0","2020-0761","CRIMINAL CONDUCT","U","A","12 0 2","YES"
"22-28","2.0","2020-0761","OF2 PROCEDURE","S","A","12 0 1","YES"
"22-28","3.0","2020-0761","SEARCH","E","A","12 0 2","YES"
"22-28","3.0","2020-0761","COURTESY","U","A","12 0 2","YES"
"22-28","4.0","2020-0761","ARREST","E","A","12 0 2","YES"
"22-28","4.0","2020-0761","SEARCH","S","A","12 0 2","YES"
"22-28","4.0","2020-0761","CRIMINAL CONDUCT","U","A","12 0 2","YES"
"22-28","4.0","2020-0761","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-28","4.0","2020-0761","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-29","1.0","2020-0196","FORCE","U","A","13 0 1","YES"
"22-30","1.0","2020-0755","DISCRIMINATION","U","A","12 0 2","YES"
"22-30","1.0","2020-0755","COURTESY","U","A/C","12 0 2","YES"
"22-30","1.0","2020-0755","PROCEDURE","U","A","12 0 2","YES"
"22-30","1.0","2020-0755","DISCRIMINATION","U","A","12 0 2","YES"
"22-30","1.0","2020-0755","COURTESY","U","A/C","12 0 2","YES"
"22-30","1.0","2020-0755","PROCEDURE","U","A","12 0 2","YES"
"22-30","2.0","2020-0755","DISCRIMINATION","U","A","12 0 2","YES"
"22-30","2.0","2020-0755","COURTESY","U","A/C","12 0 2","YES"
"22-30","2.0","2020-0755","PROCEDURE","U","A","12 0 2","YES"
"22-30","2.0","2020-0755","OF1 PROCEDURE","S","A","12 0 2","YES"
"22-30","2.0","2020-0755","DISCRIMINATION","U","A","12 0 2","YES"
"22-30","2.0","2020-0755","COURTESY","U","A/C","12 0 2","YES"
"22-30","2.0","2020-0755","PROCEDURE","U","A","12 0 2","YES"
"22-30","2.0","2020-0755","OF1 PROCEDURE","S","A","12 0 2","YES"
"22-31","1.0","2020-0752","PROCEDURE","S","A","12 0 1","YES"
"22-31","1.0","2020-0752","PROCEDURE","U","A","12 0 1","YES"
"22-31","2.0","2020-0752","DETENTION","E","A","12 0 1","YES"
"22-31","2.0","2020-0752","PROCEDURE","U","A","12 0 1","YES"
"22-31","3.0","2020-0752","COURTESY","U","A/C","12 0 1","YES"
"22-31","3.0","2020-0752","PROCEDURE","U","A","12 0 1","YES"
"22-31","4.0","2020-0752","PROCEDURE","U","A","12 0 1","YES"
"22-32","1.0","2020-0707","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-32","2.0","2020-0707","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-32","3.0","2020-0707","FORCE","E","A/C","12 0 1","YES"
"22-32","3.0","2020-0707","OF5 PROCEDURE","S","A","12 0 1","YES"
"22-32","4.0","2020-0707","FORCE","E","A/C","12 0 1","YES"
"22-32","5.0","2020-0707","DISCRIMINATION","U","D/C","12 0 1","YES"
"22-32","5.0","2020-0707","OF2 COURTESY","S","A/C","12 0 1","YES"
"22-32","5.0","2020-0707","OF4 PROCEDURE","S","A/C","12 0 1","YES"
"22-32","6.0","2020-0707","ARREST","E","D/C","12 0 1","YES"
"22-32","6.0","2020-0707","FORCE","E","A/C","12 0 1","YES"
"22-32","6.0","2020-0707","DISCRIMINATION","NS","D/C","12 0 1","YES"
"22-32","6.0","2020-0707","OF1 COURTESY","S","A","12 0 1","YES"
"22-32","6.0","2020-0707","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-32","7.0","2020-0707","ARREST","E","D/C","12 0 1","YES"
"22-32","7.0","2020-0707","FORCE","E","A/C","12 0 1","YES"
"22-32","7.0","2020-0707","DISCRIMINATION","U","A/C","12 0 1","YES"
"22-32","7.0","2020-0707","OF3 PROCEDURE","S","A","12 0 1","YES"
"22-33","1.0","2020-0698","DETENTION","E","A","11 0 1","YES"
"22-33","2.0","2020-0698","DETENTION","E","A","11 0 1","YES"
"22-34","1.0","2021-0047","COURTESY","E","A","10 0 3","YES"
"22-34","1.0","2021-0047","OF1 COURTESY","S","A","10 0 3","YES"
"22-34","2.0","2021-0047","PROCEDURE","E","A","10 0 3","YES"
"22-34","3.0","2021-0047","DETENTION","E","A","10 0 3","YES"
"22-34","3.0","2021-0047","FORCE","E","A","10 0 3","YES"
"22-35","1.0","2021-0277","DETENTION","E","A","12 0 1","YES"
"22-35","1.0","2021-0277","DETENTION","U","A","12 0 1","YES"
"22-36","1.0","2020-0633","ARREST","E","A","12 0 1","YES"
"22-36","2.0","2020-0633","ARREST","E","A","12 0 1","YES"
"22-37","1.0","2020-0567","FORCE","E","A","12 0 1","YES"
"22-37","1.0","2020-0567","PROCEDURE","E","A","12 0 1","YES"
"22-37","1.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","1.0","2020-0567","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-37","2.0","2020-0567","ARREST","E","A","12 0 1","YES"
"22-37","2.0","2020-0567","FORCE","E","A/C","12 0 1","YES"
"22-37","2.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","3.0","2020-0567","FORCE","E","A/C","12 0 1","YES"
"22-37","3.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","4.0","2020-0567","FORCE","E","A","12 0 1","YES"
"22-37","4.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","5.0","2020-0567","FORCE","E","A","12 0 1","YES"
"22-37","5.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","6.0","2020-0567","FORCE","E","A/C","12 0 1","YES"
"22-37","6.0","2020-0567","FORCE","S","A","12 0 1","YES"
"22-37","6.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","7.0","2020-0567","FORCE","E","A","12 0 1","YES"
"22-37","7.0","2020-0567","DISCRIMINATION","U","A","12 0 1","YES"
"22-37","7.0","2020-0567","OF2 PROCEDURE","A","A","12 0 1","YES"
"22-38","1.0","2021-0105","DISCRIMINATION","U","A","12 0 1","YES"
"22-38","1.0","2021-0105","COURTESY","U","A","12 0 1","YES"
"22-39","1.0","2021-0062","DETENTION","E","A","11 0 1","YES"
"22-39","1.0","2021-0062","SEARCH","E","A","11 0 1","YES"
"22-39","1.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-39","1.0","2021-0062","PROCEDURE","E","A","11 0 1","YES"
"22-39","1.0","2021-0062","SEARCH","E","A","11 0 1","YES"
"22-39","1.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-39","2.0","2021-0062","DETENTION","E","A","11 0 1","YES"
"22-39","2.0","2021-0062","SEARCH","E","A","11 0 1","YES"
"22-39","2.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-39","3.0","2021-0062","SEARCH","E","A","11 0 1","YES"
"22-39","3.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-39","4.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-39","5.0","2021-0062","SEARCH","E","A","11 0 1","YES"
"22-39","5.0","2021-0062","COURTESY","U","A","11 0 1","YES"
"22-40","1.0","2020-0754","DETENTION","E","A","12 0 1","YES"
"22-40","1.0","2020-0754","FORCE","U","A","12 0 1","YES"
"22-40","1.0","2020-0754","SEARCH","E","A","12 0 1","YES"
"22-40","1.0","2020-0754","COURTESY","U","A/C","12 0 1","YES"
"22-41","1.0","2020-0655","PROCEDURE","U","A","12 0 1","YES"
"22-41","1.0","2020-0655","COURTESY","U","A","12 0 1","YES"
"22-41","1.0","2020-0655","DISCRIMINATION","U","A","12 0 1","YES"
"22-42","1.0","2020-0143","DISCRIMINATION","U","A","12 0 1","YES"
"22-42","1.0","2020-0143","FORCE","E","A","12 0 1","YES"
"22-42","1.0","2020-0143","PROCEDURE","S","A","12 0 1","YES"
"22-42","1.0","2020-0143","OF 2PROCEDURE","S","A","12 0 1","YES"
"22-42","2.0","2020-0143","DISCRIMINATION","U","A","12 0 1","YES"
"22-42","2.0","2020-0143","PROCEDURE","S","A","12 0 1","YES"
"22-42","2.0","2020-0143","OF1 PROCEDURE","S","A","12 0 1","YES"
"22-42","3.0","2020-0143","DISCRIMINATION","U","A","12 0 1","YES"
"22-42","3.0","2020-0143","FORCE","S","A","12 0 1","YES"
"22-42","3.0","2020-0143","FORCE","E","A/C","12 0 1","YES"
"22-42","3.0","2020-0143","FORCE","S","A/C","12 0 1","YES"
"22-42","3.0","2020-0143","FORCE","E","A","12 0 1","YES"
"22-42","3.0","2020-0143","PROCEDURE","NS","A","12 0 1","YES"
"22-42","3.0","2020-0143","OF 1 PROCEDURE","S","A","12 0 1","YES"
"22-43","1.0","2020-0328","FORCE","E","A","11 0 1","YES"
"22-43","1.0","2020-0328","OF1 PROCEDURE","S","A","11 0 1","YES"
"22-43","1.0","2020-0328","OF2 PROCEDURE","S","A","11 0 1","YES"
"22-43","1.0","2020-0328","OF3 PROCEDURE","S","A","11 0 1","YES"
"22-43","1.0","2020-0328","OF4 PROCEDURE","S","A","11 0 1","YES"
"22-44","1.0","2020-0704","DETENTION","E","A","11 0 1","YES"
"22-44","2.0","2020-0704","DETENTION","E","A","11 0 1","YES"
"22-44","2.0","2020-0704","COURTESY","U","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
"22-44","2.0","2020-0704","DISCRIMINATION","NS","A","11 0 1","YES"
