id,case_number,allegation,ia_finding,crb_decision,unanimous_vote,date_assigned,date_presented,pd_division,complainant_race,complainant_gender,changes,crb_viewed_bwc
19-17,2017-0905,FORCE,U,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,FORCE,E,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,OF1 CONDUCT,S,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,OF2 PROCEDURE,S,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,PROCEDURE,E,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,PROCEDURE,S,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-17,2017-0905,PROCEDURE,E,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
19-16,2017-0915,ARREST,E,A,YES,2018-09-19,2018-11-13,NORTHWESTERN,W,M,YES,
19-16,2017-0915,FORCE,NS,A,YES,2018-09-19,2018-11-13,NORTHWESTERN,W,M,YES,
19-15,2018-0069,DISCRIMINATION,U,A,YES,2018-07-24,2018-11-13,NORTHERN,B,M,NO,
19-15,2018-0069,NO COMPLAINT FILED AGAINST THIS OFFICER,U,A,YES,2018-07-24,2018-11-13,NORTHERN,B,M,NO,
19-14,2017-0255,PROCEDURE,E,A,YES,2018-05-07,2018-10-30,SOUTHERN,W,M,YES,
19-14,2017-0255,ARREST,E,A,YES,2018-05-07,2018-10-30,SOUTHERN,W,M,YES,
19-14,2017-0255,PROCEDURE,U,A,YES,2018-05-07,2018-10-30,SOUTHERN,W,M,YES,
19-14,2017-0255,PROCEDURE,E,A,YES,2018-05-07,2018-10-30,SOUTHERN,W,M,YES,
19-14,2017-0255,ARREST,E,A,YES,2018-05-07,2018-10-30,SOUTHERN,W,M,YES,
19-14,2017-0255,FORCE,E,D/C,NO,2018-05-07,2018-10-30,SOUTHERN,W,M,NO,
19-14,2017-0255,PROCEDURE,U,D/C,NO,2018-05-07,2018-10-30,SOUTHERN,W,M,NO,
19-13,2018-0259,FORCE,E,A,YES,2018-07-17,2018-10-09,NORTHERN,W,F,NO,
19-13,2018-0259,DISCRIMINATION,U,A,YES,2018-07-17,2018-10-09,NORTHERN,W,F,NO,
19-13,2018-0259,ARREST,E,A,YES,2018-07-17,2018-10-09,NORTHERN,W,F,NO,
19-12,2018-0153,DISCRIMINATION,U,A,YES,2018-07-07,2018-10-09,SOUTHEASTERN,B,F,NO,
19-12,2018-0153,DISCRIMINATION,U,A,YES,2018-07-07,2018-10-09,SOUTHEASTERN,B,F,NO,
19-11,2017-0612,FORCE,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,ARREST,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,FORCE,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,FORCE,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,DISCRIMINATION,U,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,PROCEDURE,S,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,FORCE,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,FORCE,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,ARREST,E,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-11,2017-0612,DISCRIMINATION,U,A,YES,2017-12-14,2018-09-25,MID-CITY,B,M,NO,
19-10,2018-0233,FORCE,U,A/C,YES,2018-07-17,2018-09-11,MID-CITY,B,F,NO,
19-09,2018-0312,DISCRIMINATION,U,A,YES,2018-06-19,2018-09-11,MID-CITY,B,F,NO,
19-08,2018-0046,COURTESY,U,A,YES,2018-06-19,2018-09-11,CENTRAL,B,M,NO,
19-08,2018-0046,ARREST,E,D/C,NO,2018-06-19,2018-09-11,CENTRAL,B,M,NO,
19-07,2018-0112,FORCE,E,A,YES,2018-05-30,2018-07-24,SOUTHEASTERN,B,M,NO,
19-07,2018-0112,DISCRIMINATION,U,A,YES,2018-05-30,2018-07-24,SOUTHEASTERN,B,M,NO,
19-07,2018-0112,PROCEDURE,U,A,YES,2018-05-30,2018-07-24,SOUTHEASTERN,B,M,NO,
19-06,2017-0851,PROCEDURE,U,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,ARREST,E,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,FORCE,E,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,PROCEDURE,U,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,ARREST,E,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,FORCE,E,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-06,2017-0851,PROCEDURE,U,A,YES,2018-04-26,2018-07-10,NORTHERN,W,M,NO,
19-05,2018-0021,FORCE,U,A,YES,2018-05-01,2018-07-10,MID-CITY,B,M,NO,
19-05,2018-0021,FORCE,E,A,YES,2018-05-01,2018-07-10,MID-CITY,B,M,NO,
19-04,2017-0909,PROCEDURE,E,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,U,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,U,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,U,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,U,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,S,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,DISCRIMINATION,U,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,DISCRIMINATION,U,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PROCEDURE,E,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-04,2017-0909,PRODEDURE,E,A/C,YES,2018-05-01,2018-07-24,WESTERN,B,F,NO,
19-03,2017-0914,FORCE,E,A,YES,2018-03-02,2018-07-10,WESTERN,W,M,NO,
19-03,2017-0914,PROCEDURE,U,D/C,YES,2018-03-02,2018-07-10,WESTERN,W,M,NO,
19-03,2017-0914,OF 1 PROCEDURE,S,A,YES,2018-03-02,2018-07-10,WESTERN,W,M,NO,
19-03,2017-0914,FORCE,E,A,YES,2018-03-02,2018-07-10,WESTERN,W,M,NO,
19-02,2018-0047,FORCE,E,A,YES,2018-05-07,2018-07-24,CENTRAL,B,F,NO,
19-02,2018-0047,FORCE,E,A,YES,2018-05-07,2018-07-24,CENTRAL,B,F,NO,
19-01,2017-0868,ARREST,E,A,YES,2018-04-26,2018-07-10,SOUTHEASTERN,B,M,NO,
19-01,2017-0868,ARREST,E,A,YES,2018-04-26,2018-07-10,SOUTHEASTERN,B,M,NO,
19-01,2017-0868,DISCRIMINATION,U,A,YES,2018-04-26,2018-07-10,SOUTHEASTERN,B,M,NO,
19-01,2017-0868,PROCEDURE,U,A,YES,2018-04-26,2018-07-10,SOUTHEASTERN,B,M,NO,
20-29,2019-0130,OIS,WP,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OIS,WP,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OIS,WP,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OF1-PROCEDURE,S,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OIS,WP,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OF2-PROCEDURE,S,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-29,2019-0130,OIS,WP,A,YES,2019-11-05,2020-03-10,SOUTHEASTERN,W,M,NO,YES
20-28,2019-0549,PROCEDURE,S,A,NO,2019-12-30,2020-02-25,EASTERN,B,F,NO,NO
20-28,2019-0549,DISCRIMINATION,U,A,NO,2019-12-30,2020-02-25,EASTERN,B,F,NO,NO
20-28,2019-0549,COURTESY,NS,A,NO,2019-12-30,2020-02-25,EASTERN,B,F,NO,NO
20-27,2019-0015,DISCRIMINATION,U,A,NO,2019-07-22,2020-02-25,CENTRAL,B,M,NO,YES
20-26,2019-0500,OF1-PROCEDURE,S,A,YES,2019-11-26,2020-02-11,MID-CITY,W,M,NO,YES
20-26,2019-0500,ARREST,E,A,YES,2019-11-26,2020-02-11,MID-CITY,W,M,NO,YES
20-26,2019-0500,FORCE,E,A,YES,2019-11-26,2020-02-11,MID-CITY,W,M,NO,YES
20-25,2019-0066,ARREST,E,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,FORCE,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,FORCE,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,DISCRIMINATION,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,COURTESY,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,DISCRIMINATION,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-25,2019-0066,COURTESY,U,A,YES,2019-10-01,2020-02-11,CENTRAL,H,M,YES,YES
20-24,2018-0766,ICD,WP,A,NO,2019-06-26,2020-01-28,NORTHERN,B,F,NO,YES
20-24,2018-0766,ICD,WP,A/C,NO,2019-06-26,2020-01-28,NORTHERN,B,F,NO,YES
20-24,2018-0766,ICD,NWP,A,NO,2019-06-26,2020-01-28,NORTHERN,B,F,NO,YES
20-24,2018-0766,ICD,WP,A,NO,2019-06-26,2020-01-28,NORTHERN,B,F,NO,YES
20-23,2019-0209,ICD PROCEDURE2018-0766,S,A,YES,2019-06-26,2020-01-28,CENTRAL,B,F,NO,YES
20-23,2019-0209,PERFORMANCE OF DUTY,S,A,YES,2019-06-26,2020-01-28,CENTRAL,B,F,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-22,2019-0356,ICD,WP,A,YES,2019-11-19,2020-01-14,MID-CITY,B,M,NO,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
